Attribute Name,Code,Section defined,Value Type,MUST,MAY,SHOULD NOT,MUST NOT
@vendor,0,,,,,,
@standard,RFC 3588,,,,,,
#=,,,,,,,
# RFC 3588 - Diameter #,,,,,,,
#=,,,,,,,
#,,,,,,,
Acct-Interim-Interval,85,9.8.2,Unsigned32,M,P,,V
Accounting-Realtime-Required,483,9.8.7,Enumerated,M,P,,V
Acct-Multi-Session-Id,50,9.8.5,UTF8String,M,P,,V
Accounting-Record-Number,485,9.8.3,Unsigned32,M,P,,V
Accounting-Record-Type,480,9.8.1,Enumerated,M,P,,V
Accounting-Session-Id,44,9.8.4,OctetString,M,P,,V
Accounting-Sub-Session-Id,287,9.8.6,Unsigned64,M,P,,V
Acct-Application-Id,259,6.9,Unsigned32,M,P,,V
Auth-Application-Id,258,6.8,Unsigned32,M,P,,V
Auth-Request-Type,274,8.7,Enumerated,M,P,,V
Authorization-Lifetime,291,8.9,Unsigned32,M,P,,V
Auth-Grace-Period,276,8.10,Unsigned32,M,P,,V
Auth-Session-State,277,8.11,Enumerated,M,P,,V
Re-Auth-Request-Type,285,8.12,Enumerated,M,P,,V
Class,25,8.20,OctetString,M,P,,V
Destination-Host,293,6.5,DiameterIdentity,M,P,,V
Destination-Realm,283,6.6,DiameterIdentity,M,P,,V
Disconnect-Cause,273,5.4.3,Enumerated,M,P,,V
E2E-Sequence-AVP,300,6.15,Grouped,M,P,,V
Error-Message,281,7.3,UTF8String,,P,,"V,M"
Error-Reporting-Host,294,7.4,DiameterIdentity,,P,,"V,M"
Event-Timestamp,55,8.21,Time,M,P,,V
Experimental-Result,297,7.6,Grouped,M,P,,V
Experimental-Result-Code,298,7.7,Unsigned32,M,P,,V
Failed-AVP,279,7.5,Grouped,M,P,,V
Firmware-Revision,267,5.3.4,Unsigned32,,,,"P,V,M"
Host-IP-Address,257,5.3.5,Address,M,P,,V
Inband-Security-Id,299,6.10,Unsigned32,M,P,,V
Multi-Round-Time-Out,272,8.19,Unsigned32,M,P,,V
Origin-Host,264,6.3,DiameterIdentity,M,P,,V
Origin-Realm,296,6.4,DiameterIdentity,M,P,,V
Origin-State-Id,278,8.16,Unsigned32,M,P,,V
Product-Name,269,5.3.7,UTF8String,,,,"P,V,M"
Proxy-Host,280,6.7.3,DiameterIdentity,M,,,"P,V"
Proxy-Info,284,6.7.2,Grouped,M,,,"P,V"
Proxy-State,33,6.7.4,OctetString,M,,,"P,V"
Redirect-Host,292,6.12,DiameterURI,M,P,,V
Redirect-Host-Usage,261,6.13,Enumerated,M,P,,V
Redirect-Max-Cache-Time,262,6.14,Unsigned32,M,P,,V
Result-Code,268,7.1,Unsigned32,M,P,,V
Route-Record,282,6.7.1,DiameterIdentity,M,,,"P,V"
Session-Id,263,8.8,UTF8String,M,P,,V
Session-Timeout,27,8.13,Unsigned32,M,P,,V
Session-Binding,270,8.17,Unsigned32,M,P,,V
Session-Server-Failover,271,8.18,Enumerated,M,P,,V
Supported-Vendor-Id,265,5.3.6,Unsigned32,M,P,,V
Termination-Cause,295,8.15,Enumerated,M,P,,V
User-Name,1,8.14,UTF8String,M,P,,V
Vendor-Id,266,5.3.3,Unsigned32,M,P,,V
Vendor-Specific-Application-Id,260,6.11,Grouped,M,P,,V
@standard,RFC 4005,,,,,,
#=,,,,,,,
# RFC 4005 - NAS #,,,,,,,
#=,,,,,,,
#,,,,,,,
NAS-Port,5,4.2,Unsigned32,M,P,,V
NAS-Port-Id,87,4.3,UTF8String,M,P,,V
NAS-Port-Type,61,4.4,Enumerated,M,P,,V
Called-Station-Id,30,4.5,UTF8String,M,P,,V
Calling-Station-Id,31,4.6,UTF8String,M,P,,V
Connect-Info,77,4.7,UTF8String,M,P,,V
Originating-Line-Info,94,4.8,OctetString,,"M,P",,V
Reply-Message,18,4.9,UTF8String,M,P,,V
User-Password,2,5.1,OctetString,M,P,,V
Password-Retry,75,5.2,Unsigned32,M,P,,V
Prompt,76,5.3,Enumerated,M,P,,V
