Attribute Name,AVP Code,Section defined,Value Type,MUST,MAY,SHOULD NOT,MUST NOT
@vendor,10415,,,,,,
,,,,,,,
@standard,3GPP TS 29.061,,,,,,
#=,,,,,,,
# 3GPP TS 29.061 V15.5.0 (2018-12),,,,,,,
# Interworking between the Public Land Mobile Network (PLMN),,,,,,,
# supporting packet based services and,,,,,,,
# Packet Data Networks (PDN),,,,,,,
# ,,,,,,,
# From 3GPP 29061-f50.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.061 Table 9a: Gi/Sgi specific AVPs,,,,,,,
#,,,,,,,
# Note: 3GPP TS 29.061 is unclear and inconsistent about M.,,,,,,,
"# For this reason, other sources are assumed more trustworthy.",,,,,,,
#=,,,,,,,
#,,,,,,,
# Fix: 3GPP-IMSI (1) changed to Must M.,,,,,,,
3GPP-IMSI,1,16.4.7,UTF8String,"M,V",P,,
"# Fix: 3GPP-Charging-Id (2) type changed from OctetString to Unsigned32,",,,,,,,
# per 3GPP TS 29.061 clause 16.4.7.2/2 and packet dumps.,,,,,,,
3GPP-Charging-Id,2,16.4.7,Unsigned32,"M,V",P,,
# Fix: 3GPP-PDP-Type (3) changed to Must M.,,,,,,,
3GPP-PDP-Type,3,16.4.7,Enumerated,"M,V",P,,
3GPP-CG-Address,4,16.4.7,OctetString,V,P,,M
# Fix: 3GPP-GPRS-Negotiated-QoS-Profile (5) changed to Must M per contrib/3gpp.,,,,,,,
3GPP-GPRS-Negotiated-QoS-Profile,5,16.4.7,UTF8String,"M,V",P,,
3GPP-SGSN-Address,6,16.4.7,OctetString,V,P,,M
3GPP-GGSN-Address,7,16.4.7,OctetString,V,P,,M
# Fix: 3GPP-IMSI-MCC-MNC (8) changed to Must M per packet dumps.,,,,,,,
3GPP-IMSI-MCC-MNC,8,16.4.7,UTF8String,"M,V",P,,
# Fix: 3GPP-GGSN-MCC-MNC (9) changed to Must M per contrib/3gpp.,,,,,,,
3GPP-GGSN-MCC-MNC,9,16.4.7,UTF8String,"M,V",P,,
# Fix: 3GPP-NSAPI (10) changed to Must M per contrib/3gpp.,,,,,,,
3GPP-NSAPI,10,16.4.7,OctetString,"M,V",P,,
# Note: 3GPP TS 29.061 Table 9a does not define,,,,,,,
# 3GPP-Session-Stop-Indicator (11) even when it is referenced,,,,,,,
# by other 3GPP Diameter AVPs including PS-Information (874).,,,,,,,
# ,,,,,,,
# Fix: Add 3GPP-Session-Stop-Indicator (11) OctetString.,,,,,,,
3GPP-Session-Stop-Indicator,11,16.4.7,OctetString,V,P,,M
# Fix: 3GPP-Selection-Mode (12) changed to Must M per contrib/3gpp.,,,,,,,
3GPP-Selection-Mode,12,16.4.7,UTF8String,"M,V",P,,
# Fix: 3GPP-Charging-Characteristics (13) changed to Must M per contrib/3gpp.,,,,,,,
3GPP-Charging-Characteristics,13,16.4.7,UTF8String,"M,V",P,,
# Note: 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# 3GPP-CG-IPv6-Address (14) to 3GPP-CG-Ipv6-Address.,,,,,,,
# ,,,,,,,
# Fix: 3GPP-CG-Ipv6-Address (14) changed to Must M per contrib/3gpp.,,,,,,,
# Change-1.4.0: 3GPP-CG-IPv6-Address (14) renamed to 3GPP-CG-Ipv6-Address (14).,,,,,,,
3GPP-CG-Ipv6-Address,14,16.4.7,OctetString,"M,V",P,,
# Note: 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# 3GPP-SGSN-IPv6-Address (15) to 3GPP-SGSN-Ipv6-Address.,,,,,,,
# ,,,,,,,
# Fix: 3GPP-SGSN-Ipv6-Address (15) changed to Must M per contrib/3gpp.,,,,,,,
# Change-1.4.0: 3GPP-SGSN-IPv6-Address (15) renamed to 3GPP-SGSN-Ipv6-Address (15).,,,,,,,
3GPP-SGSN-Ipv6-Address,15,16.4.7,OctetString,"M,V",P,,
# Note: 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# 3GPP-GGSN-IPv6-Address (16) to 3GPP-GGSN-Ipv6-Address.,,,,,,,
# ,,,,,,,
# Fix: 3GPP-GGSN-Ipv6-Address (16) changed to Must M per contrib/3gpp.,,,,,,,
# Change-1.4.0: 3GPP-GGSN-IPv6-Address (16) renamed to 3GPP-GGSN-Ipv6-Address (16).,,,,,,,
3GPP-GGSN-Ipv6-Address,16,16.4.7,OctetString,"M,V",P,,
# Note: 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# 3GPP-IPv6-DNS-Servers (17) to 3GPP-Ipv6-DNS-Servers.,,,,,,,
# ,,,,,,,
# Fix: 3GPP-Ipv6-DNS-Servers (17) changed to Must M per contrib/3gpp.,,,,,,,
# Change-1.4.0: 3GPP-IPv6-DNS-Servers (17) renamed to 3GPP-Ipv6-DNS-Servers (17).,,,,,,,
3GPP-Ipv6-DNS-Servers,17,16.4.7,OctetString,"M,V",P,,
# Fix: 3GPP-SGSN-MCC-MNC (18) changed to Must M per contrib/3gpp.,,,,,,,
3GPP-SGSN-MCC-MNC,18,16.4.7,UTF8String,"M,V",P,,
# Fix: 3GPP-IMEISV (20) changed to Must M.,,,,,,,
3GPP-IMEISV,20,16.4.7,OctetString,"M,V",P,,
# Fix: 3GPP-RAT-Type (21) changed to Must M.,,,,,,,
3GPP-RAT-Type,21,16.4.7,OctetString,"M,V",P,,
# Fix: 3GPP-User-Location-Info (22) changed to Must M.,,,,,,,
3GPP-User-Location-Info,22,16.4.7,OctetString,"M,V",P,,
# Fix: 3GPP-MS-TimeZone (23) changed to Must M.,,,,,,,
3GPP-MS-TimeZone,23,16.4.7,OctetString,"M,V",P,,
3GPP-CAMEL-Charging-Info,24,16.4.7,OctetString,V,P,,M
3GPP-Packet-Filter,25,16.4.7,OctetString,V,P,,M
3GPP-Negotiated-DSCP,26,16.4.7,OctetString,V,P,,M
3GPP-Allocate-IP-Type,27,16.4.7,OctetString,V,P,,M
# Note: 3GPP TS 29.061 Table 9a does not define,,,,,,,
# External-Identifier (28) for Diameter; it is RADIUS only.,,,,,,,
# 3GPP TS 29.061 Table 9b refers to 3GPP TS 29.336,,,,,,,
# for External-Identifier (3111).,,,,,,,
# ,,,,,,,
# Change-1.4.0: External-Identifier (28) OctetString replaced by External-Identifier (3111) UTF8String.,,,,,,,
#,,,,,,,
TWAN-Identifier,29,16.4.7,OctetString,V,P,,M
3GPP-User-Location-Info-Time,30,16.4.7,OctetString,V,P,,M
3GPP-Secondary-RAT-Usage,31,16.4.7,OctetString,V,P,,M
#=,,,,,,,
# 3GPP TS 29.061 Table 10: Gmb specific AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
TMGI,900,17.7.2,OctetString,"M,V",P,,
Required-MBMS-Bearer-Capabilities,901,17.7.3,UTF8String,"M,V",P,,
MBMS-StartStop-Indication,902,17.7.5,Enumerated,"M,V",P,,
